_id,productCode,productBrand,productCapacity,ci,qty,booked,available,status,pusrchaseInvoice,productId,bl,date,warehouse,createdAt,updatedAt,__v
6482fb3899b3f5aff1930152,SMF56638,KINGSLIGHT,66 AH,,0,0,0,,,643ae67d215409eb7cae6463,KMTCPNC3991021D,2023-05-05T10:08:26.000Z,azal,2023-06-09T10:13:12.410Z,2023-06-09T10:14:17.855Z,0
6482fcf299b3f5aff1930194,SMF95D31R,KINGSLIGHT,90 AH,,324,0,324,,,643ae773215409eb7cae646d,KMTCPNC3991021D ,2023-05-05T10:20:13.000Z,azal,2023-06-09T10:20:34.788Z,2023-06-09T10:20:34.788Z,0
6482fda999b3f5aff19301a8,SMF95D31R,KINGSLIGHT,90 AH,,324,0,324,,,643ae773215409eb7cae646d,KMTCPNC3959847D,2023-02-09T10:23:11.000Z,azal,2023-06-09T10:23:37.233Z,2023-06-09T10:23:37.233Z,0
648301e599b3f5aff19301b9,60044,SUPREME,100 AH,,300,0,300,,,643af3c1215409eb7cae64a9,SELA77142300,2023-02-22T09:46:32.000Z,our wh 1 (old),2023-06-09T10:41:41.176Z,2023-06-09T10:41:41.176Z,0
6483082e99b3f5aff19301e0,OFF-GRID SPF 5000ES,Growatt,5 KW,,340,0,340,,,641bffc74d1ef63239f7d641,030C537193,2023-01-12T11:07:45.000Z,azal,2023-06-09T11:08:30.720Z,2023-06-09T11:08:30.720Z,0
6483090899b3f5aff19301eb,MA-1250A,Suoer,50 A,,3000,0,3000,,,6408806d0633afb54fd7a10a,SZXCB23001209,2023-02-23T09:46:32.000Z,azal,2023-06-09T11:12:08.990Z,2023-06-09T11:12:08.990Z,0
648309d199b3f5aff19301f1,Charger-MA-1210AS,Suoer Charger ,10 A,,8700,0,8700,,,64188e7f246d770f4e65bcf3,SZXCB23001209,2023-02-23T09:46:32.000Z,azal,2023-06-09T11:15:29.932Z,2023-06-09T11:15:29.932Z,0
64830a0c99b3f5aff19301f5,Charger -MA-1220AS,Suoer Charger ,20 A,,7760,0,7760,,,64188ec0246d770f4e65bcf6,SZXCB23001209,2023-02-23T09:46:32.000Z,azal,2023-06-09T11:16:28.103Z,2023-06-09T11:16:28.103Z,0
64830a4f99b3f5aff19301f9,Charger -MA-1220AS,Suoer Charger ,20 A,,7760,0,7760,,,64188ec0246d770f4e65bcf6,SZXCB23001209,2023-02-23T11:16:27.000Z,azal,2023-06-09T11:17:35.801Z,2023-06-09T11:17:35.801Z,0
64830ac299b3f5aff19301fd,SUA-2000A,Suoer,2000 VA,,2400,0,2400,,,6408cccfaa7dd4c7ad6b0ac7,SZXCB23001209,2023-02-23T09:46:32.000Z,azal,2023-06-09T11:19:30.703Z,2023-06-09T11:19:30.703Z,0
