_id,category,country,company,brand,code,capacity,palatSize,price,image[0],description,netWeight,grossWeight,__v,stock,LocalPrice,freezonePrice,updatedAt,booked,coming,lastUpdateBy,createdAt,bl[0]._id,bl[1]._id,bl[2]._id,bl[3]._id,bl[4]._id,bl[5]._id,bl[6]._id,bl[7]._id,bl[8]._id,bl[9]._id,bl[0].code,bl[1].code,bl[2].code,bl[3].code,bl[4].code,bl[5].code,bl[6].code,bl[7].code,bl[8].code,bl[9].code,bl[0].qty,bl[1].qty,bl[2].qty,bl[3].qty,bl[4].qty,bl[5].qty,bl[6].qty,bl[7].qty,bl[8].qty,bl[9].qty,bl[0].date,bl[1].date,bl[2].date,bl[3].date,bl[4].date,bl[5].date,bl[6].date,bl[7].date,bl[8].date,bl[9].date,bl[0].warehouse,bl[1].warehouse,bl[2].warehouse,bl[3].warehouse,bl[4].warehouse,bl[5].warehouse,bl[6].warehouse,bl[7].warehouse,bl[8].warehouse,bl[9].warehouse,bl[0].status,bl[1].status,bl[2].status,bl[3].status,bl[4].status,bl[5].status,bl[6].status,bl[7].status,bl[8].status,bl[9].status,bl[0].booked,bl[1].booked,bl[2].booked,bl[3].booked,bl[4].booked,bl[5].booked,bl[6].booked,bl[7].booked,bl[8].booked,bl[9].booked
641c0efe4d1ef63239f7d672,Inverter,India,LUMINOUS,LUMINOUS INVERTERS,ICON 1100VA/12V FG UNIT,1100 W,0,0,https://res.cloudinary.com/dvfuxrg12/image/upload/v1679560318/gpe9tp55swpjrsjwxj6k.png,,15,16,0,,,,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T08:34:06.381Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c109e4d1ef63239f7d680,Inverter,India,LUMINOUS,LUMINOUS INVERTERS,ECO VOLT 1400VA/12V,1400 W,,,https://res.cloudinary.com/dvfuxrg12/image/upload/v1679560860/cuo0cesf45wwtvhwlaor.png,,15,16,0,,9,10,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T08:41:02.429Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c12254d1ef63239f7d686,Inverter,India,LUMINOUS,LUMINOUS INVERTERS,ECO VOLT 2000VA/24V W/O WIFI,2000 W,,,https://res.cloudinary.com/dvfuxrg12/image/upload/v1679561252/dboriwvg3roobnzlvbuo.png,,24,25,0,,9,10,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T08:47:33.833Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c12b54d1ef63239f7d688,Inverter,India,LUMINOUS,LUMINOUS INVERTERS,CRUZE EXP 2800VA/24V,2800VA,,,https://res.cloudinary.com/dvfuxrg12/image/upload/v1679561395/uh20p7wnownmvbmgiaem.png,,24,25,0,,9,10,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T08:49:57.249Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c13544d1ef63239f7d68a,Inverter,India,LUMINOUS,LUMINOUS INVERTERS,S/W UPS 4KVA/48V,4K,0,0,https://res.cloudinary.com/dvfuxrg12/image/upload/v1679561554/moupjnh8jhmc7ksw5g5c.png,,61,60,0,,,,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T08:52:36.333Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c13944d1ef63239f7d68c,Inverter,India,LUMINOUS,LUMINOUS INVERTERS,S/W UPS 5KVA/48Vi-CRUZE EXP,5K,0,0,https://res.cloudinary.com/dvfuxrg12/image/upload/v1679561618/zb8j2nvge6etv1qizwfz.png,,81,80,0,,,,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T08:53:40.470Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c16b24d1ef63239f7d6a7,Inverter,China,Voltronic,AGS,MAX 8KW - 48V,8 KW,0,0,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682699629/vozfybmpombsfffdxkbz.png,,19.45,22.97,0,,,,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T09:06:58.369Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c1e134d1ef63239f7d6af,Battery,India,Deepak,ORBIT,DIN55,55 AH,,,https://res.cloudinary.com/dvfuxrg12/image/upload/v1679564305/o2t27znzyhomyqynbcmr.png,,9.85,10.3,0,,9,10,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T09:38:27.880Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c1e484d1ef63239f7d6b7,Battery,India,Deepak,ORBIT,N100,100 AH,0,0,https://res.cloudinary.com/dvfuxrg12/image/upload/v1679564358/o4i9hkn9z4bzehhse27y.png,,16.77,17.4,0,,,,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T09:39:20.129Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c1e7b4d1ef63239f7d6b9,Battery,India,Deepak,ORBIT,N150,150 AH,0,0,https://res.cloudinary.com/dvfuxrg12/image/upload/v1679564409/cqrknqpupijx0ijulp6l.png,,23.4,24.07,0,,,,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T09:40:11.026Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c1eac4d1ef63239f7d6bc,Battery,India,Deepak,ORBIT,N200,200 AH,0,0,https://res.cloudinary.com/dvfuxrg12/image/upload/v1679564458/n2qokm2csmyajdrlyzhc.png,,29.5,30.66,0,,,,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T09:41:00.073Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c210e4d1ef63239f7d6c5,Battery,Thailand,3k,3K,N40 ,40 AH,0,0,https://res.cloudinary.com/dvfuxrg12/image/upload/v1679565068/o3nr7beo2lgi2wsuyk7z.png,,6,6.88,0,,,,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T09:51:10.332Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c227a4d1ef63239f7d6d4,Battery,Thailand,3k,3K,BATTERY N50 ,55 AH,0,0,https://res.cloudinary.com/dvfuxrg12/image/upload/v1679565432/ecq5brtailfxglkefeze.png,,8.5,9,0,,,,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T09:57:14.430Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c23354d1ef63239f7d6db,Battery,Thailand,3k,3K,BATTERY  N100 ,100 AH,0,0,https://res.cloudinary.com/dvfuxrg12/image/upload/v1679565619/l6isfdmoat2wbfytampm.webp,,16,16.64,0,,,,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T10:00:21.103Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c239b4d1ef63239f7d6dd,Battery,Thailand,3k,3K,BATTERY N150 ,150 AH,0,0,https://res.cloudinary.com/dvfuxrg12/image/upload/v1679565720/ghfeph9xobvdi4rdnakq.webp,,25,25.79,0,,,,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T10:02:03.116Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c240c4d1ef63239f7d6e0,Battery,Thailand,3k,3K,BATTERY N 200 ,200 AH,0,0,https://res.cloudinary.com/dvfuxrg12/image/upload/v1679565834/ag2iuey2taeisowjje0g.webp,,32,32.23,0,,,,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T10:03:56.157Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c2e824d1ef63239f7d6ec,Battery,India,Pacer,Pacer,200 AH PACER,200 AH,0,125,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682754816/zo7we52lzyysvultcreg.png,,61.5,62.5,0,800,151,131,2023-05-31T13:50:01.244Z,0,0,,2023-03-23T10:48:34.681Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
